Name,Year,ProgramName,Discipline,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9,,,,,,,
b5791b4225856a0fa7427fbcb0e129b4,1721,M.Tech,Electrical Engineering, EE 699 ,,,,,,,,,,,,,,,
8c7e050db9ead216cd5572d89db7ca65,1821,M.Tech,Mechanical Engineering, ES 631 , MA 602 , ES 632 , ME 699 ,,,,,,,,,,,,
b8a8b745e4c3ca2f762a7f73c1075753,1711,B.Tech,Comp Science & Engg, ES 202 , ES 301 , HS 201 , MA 202 , ES 215 , ES 214 ,,,,,,,,,,
7a12671db470169fab8d5c43ebca1d96,1751,M.Sc,Chemistry, CH 629 , CH 517 , CH 599 (B) , CH 599 (C) , CH 632 , FP 602 ,,,,,,,,,,
d822c507e0010996362de69eef20f6b2,1611,B.Tech,Comp Science & Engg, HS 635 , ES 643 ,,,,,,,,,,,,,,
db009d3f034409b531c4557456fb1e64,1811,B.Tech,Materials Science & Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
8007204a3c7913fd8ac3cb82135fce23,1831,Ph.D,Humanities and Social Science, HS 644 , IN 792, EH 608 , MA 632 , IN 791 , FP 602 ,,,,,,,,,,
197151b673ceb0c368efee33a2de0c0a,1851,M.Sc,Chemistry, CH 512 , CH 622 , HS 112 , CH 508 , CH 519 , CH 521 ,,,,,,,,,,
7ea88c0cc6ca3868791c7d5d31b73db2,1431,Ph.D,Biological Engineering, BE 799 ,,,,,,,,,,,,,,,
7445d7c5ca9dc276707db5865aedd9ca,1511,B.Tech,Electrical Engineering, CH 301 , HS 635 , CH 517 , MS 204 , HS 514 , BE 402 ,,,,,,,,,,
374e37343dc28e42c12680e2762ae95b,1811,B.Tech,Materials Science & Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
3dfe4dc288911774f79af7beb710a2a0,1711,B.Tech,Materials Science & Engineering, ES 221 , ES 212 , HS 201 , MA 202 , MSE 309 , MSE 201 (N) ,,,,,,,,,,
0cac5b6b79c5da3eeb92c11150270772,1811,B.Tech,Mechanical Engineering, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 ,,,,,,,
27bfe3fae3ed391091b650a5bca16df0,1851,M.Sc,Mathematics, MA 501 , MA 502 , MA 510 , MA 622 , Ma 624 ,,,,,,,,,,,
8dde4b10b8df1b9d9b6b1a8bb9472a30,1711,B.Tech,Mechanical Engineering, ES 221 , ES 202 , ES 212 , MA 202 , ME 352 , ME 399 ,,,,,,,,,,
09624b091abb7952590f13deb50b3efd,1231,Ph.D,Electrical Engineering, PH 799 ,,,,,,,,,,,,,,,
c464e9b7adcacfb7763c80162a5bff4c,1831,Ph.D,Civil Engineering, CE 622 , ES 622 , CE 626 , CE 798 , FP 602 ,,,,,,,,,,,
032fba4e11b31e46b1bf691c7e370016,1825,M.Tech,Electrical Engineering, ES 615 , ES 616 , MA 602 , EE 651 , ES 641 ,,,,,,,,,,,
d4784db68e436cfb855eac2c0e779ae5,1711,B.Tech,Electrical Engineering, EE 331 , ES 202 , MA 202 , MS 204 ,ES 216,,,,,,,,,,,
f72fbeecceffecfe1da6ff044e8b0380,1431,Ph.D,Chemistry, CH 799 ,,,,,,,,,,,,,,,
25a6117598a992c84d35ceeb44950154,1611,B.Tech,Materials Science & Engineering, CH 301 , HS 507, MSE 352 , MSE 307 , MSE 302(N) , BE 402 ,,,,,,,,,,
8aa4df6500251f381652530309f0f1a5,1511,B.Tech,Chemical Engineering, HS 631 , HS 508 , HS 514 , HS 515 , HS 517 ,,,,,,,,,,,
