Name,Course_1,Course_2,Course_3,Course_4,Course_5,Course_6,Course_7,Course_8,Course_9
2def020e439c7453ad33a12d9ed226da, ES 221 , ES 212 , HS 201 , MA 202 , MSE 309 , MSE 201 (N) ,,,
a154a0ed933c11f41e5505d63a9a49e5, ES 221 , ES 202 , ES 212 , HS 201 , MA 202 , MS 204 , MS 304 ,,
cc94813a0c029884d9f0d8761d2f7c1b, ES 202 , ES 301 , HS 201 , MA 202 , ES 215 , ES 214 ,,,
5e34bcc670b13ca23231f6d777b56e63, ES 631 , MSE 699 , ES 632 , CH 632 , PH 615 ,,,,
a81315d9f026bb04cd2dff30ce498350, CH 301 , HS 631 , HS 635 , CH 517 , MS 204 ,,,,
e57204b02e7b228cd3ad3946faf57d86, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
3e06f2f931c1d1df92591040812aa615, PH 505 , PH 599(A) , PH 599 (B) , PH 599 (C) , FP 602 ,,,,
9850c2fb693b5b5f079ead88da47af9d, CG 501 , CH 301 , HS 111 , HS 631 , MA 102 , MS 204 , CG 608 , BE 402 ,
a595e9a3a973d1b29b9ea18e98d9b2e3, PH 599(A) , PH 599 (B) , PH 599 (C) , ES 643 , FP 602 , PH 614 ,,,
faae19762575f42e5813220b5d6faa06, HS 112 ,,,,,,,,
69f09157dcac1ed57ef984887b0ac25a, HS 644 , HS 599(A) , HS 513 , HS 515 , EH 608 , FP 602 ,,,
d17235b2fb6de8b0426cde533342c6aa, ES 332 , ME 322 , ME 332 , ME 352 , ME 391 , ME 626 , HS 642 , HS 515 ,
c65fb4d64eb4dc4280fb2d16029133e8, ES 105 , HS 201 , HS 406 , MSE 309 , HS 513 ,,,,
7dbab96e3099cb3d2fdb444b9bafff74, CE 202 , ES 202 , ES 212 , ES 221 , HS 201 , MA 202 ,,,
d6d1f2bea3834747581b05fc87d5875e, EE 331 , ES 202 , HS 201 , MA 202 , ES 216 , Systems and Networks,,,
8a8f1138acfbf5f4e75f84110f57d567, HS 631 , HS 644 , HS 517 , FP 602 , HS 422 , Politics and Economics,,,
1fa14a96789a2f2d772acc6ef3a08441, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
c3724b1b9b6209b36e4450c07e885352, ME 799 ,,,,,,,,
0cc4f67064c20e6cf250b42bc72a10cc, ES 202 , ES 301 , HS 201 , MA 202 , ES 215 , ES 214 ,,,
197151b673ceb0c368efee33a2de0c0a, CH 512 , CH 622 , HS 112 , CH 508 , CH 519 , CH 521 ,,,
78c4aa53b23c7f5187543e96d2127518, CH 301 , ES 105 , ES 332 , ME 322 ,,,,,
52f656abce241be416955ccc309e74b6, CH 301 , EE 333 , EE 341 , ES 332 , HS 112 , CH 517 , BE 402 ,,
b23444ffc9e0f2f63335dff9487e083c, PH 799 ,,,,,,,,
d3ddf98fa432548821e779f9e779a0b4, CS 432 , HS 423 , MA 501 , ES 215 , HS 421 ,,,,
20ade70dd34cec333d5f78373ab44ef8, ES 104 , ES 105 , ES 106 , FP 101 , HS 151 , MA 102 , PH 101 , PE 102 , CH 202 
c2c95d9a14094fdfb67805a7cb07d55f, ME 699 ,,,,,,,,
