Year,ProgramName,Discipline
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Civil Engineering
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Comp Science & Engg
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Electrical Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Materials Science & Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1711,B.Tech,Mechanical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Chemical Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Civil Engineering
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Comp Science & Engg
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Electrical Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Materials Science & Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
1811,B.Tech,Mechanical Engineering
